goos: darwin
goarch: arm64
pkg: github.com/koykov/versus/jsonvector
BenchmarkParseFastJSON/small-12         	1000000000	        70.69 ns/op	2687.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        32.09 ns/op	5920.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        27.49 ns/op	6911.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        27.79 ns/op	6836.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        26.92 ns/op	7057.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        26.48 ns/op	7176.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        23.04 ns/op	8245.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        28.75 ns/op	6607.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        27.33 ns/op	6952.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        25.58 ns/op	7426.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	309867984	       229.5 ns/op	10147.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	324622303	       221.8 ns/op	10502.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	277497375	       247.0 ns/op	9429.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	330662326	       217.5 ns/op	10708.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	324273462	       222.8 ns/op	10454.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	318206262	       224.2 ns/op	10387.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	324327138	       223.1 ns/op	10437.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	323320282	       216.9 ns/op	10737.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	326951394	       223.8 ns/op	10404.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	291101988	       252.2 ns/op	9235.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-12         	34326430	      2130 ns/op	13199.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-12         	32897604	      2217 ns/op	12681.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-12         	34399556	      2101 ns/op	13384.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-12         	34116073	      2156 ns/op	13042.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-12         	32917828	      2185 ns/op	12866.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-12         	34526338	      2102 ns/op	13378.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-12         	28297228	      2473 ns/op	11369.89 MB/s	       0 B/op	       0 allocs/op
