goos: darwin
goarch: arm64
pkg: github.com/koykov/versus/jsonvector
BenchmarkParseFastJSON/small-12         	1000000000	        28.06 ns/op	6771.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        26.55 ns/op	7157.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        26.67 ns/op	7124.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        31.80 ns/op	5975.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        25.25 ns/op	7525.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        26.47 ns/op	7176.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        22.88 ns/op	8304.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        26.83 ns/op	7080.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        24.44 ns/op	7775.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-12         	1000000000	        26.16 ns/op	7263.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	348092288	       206.4 ns/op	11285.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	326536720	       222.4 ns/op	10473.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	319136097	       222.3 ns/op	10477.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	332929566	       224.5 ns/op	10376.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	417940653	       185.9 ns/op	12526.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	302339005	       238.4 ns/op	9770.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	312297824	       228.3 ns/op	10201.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-12        	306201450	       235.6 ns/op	9884.43 MB/s	       0 B/op	       0 allocs/op
