goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseFastJSON/small-48         	1000000000	        31.39 ns/op	6051.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        27.20 ns/op	6984.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        31.84 ns/op	5966.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        28.76 ns/op	6606.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        36.00 ns/op	5277.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        32.54 ns/op	5839.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        31.83 ns/op	5968.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        28.55 ns/op	6653.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        32.68 ns/op	5813.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        30.68 ns/op	6192.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	360113872	       183.0 ns/op	12730.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	358887433	       206.8 ns/op	11259.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	309706477	       233.6 ns/op	9971.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	342049716	       209.9 ns/op	11095.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	324930133	       225.3 ns/op	10339.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	354313046	       209.1 ns/op	11139.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	322754508	       222.8 ns/op	10453.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	414397929	       194.2 ns/op	11991.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	321672735	       224.0 ns/op	10399.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	335096389	       218.0 ns/op	10685.86 MB/s	       0 B/op	       0 allocs/op
