goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseFastJSON/small-48         	1000000000	        28.53 ns/op	6660.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        32.60 ns/op	5828.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        27.20 ns/op	6985.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        31.49 ns/op	6034.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        27.88 ns/op	6815.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        30.36 ns/op	6258.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        28.67 ns/op	6626.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        31.55 ns/op	6022.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        24.05 ns/op	7900.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-48         	1000000000	        33.79 ns/op	5623.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	342847668	       212.0 ns/op	10987.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	322896098	       225.8 ns/op	10316.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	332513049	       227.0 ns/op	10261.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	349072084	       206.3 ns/op	11286.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	362395563	       198.4 ns/op	11736.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	354245442	       202.2 ns/op	11516.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	346590660	       209.5 ns/op	11114.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	341577514	       189.2 ns/op	12311.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	323639204	       225.4 ns/op	10333.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-48        	356492991	       215.8 ns/op	10793.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-48         	29967309	      2520 ns/op	11158.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-48         	27450354	      2522 ns/op	11150.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-48         	30015800	      2418 ns/op	11629.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-48         	30577597	      2307 ns/op	12186.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-48         	31381630	      2345 ns/op	11991.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-48         	30333433	      2317 ns/op	12133.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-48         	30093949	      2405 ns/op	11691.59 MB/s	       0 B/op	       0 allocs/op
