goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseFastJSON/small-8         	894978871	        77.78 ns/op	2442.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	871154584	        82.54 ns/op	2301.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	855306164	        86.15 ns/op	2205.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	794640050	        89.88 ns/op	2113.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	922311552	        77.83 ns/op	2441.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	921938337	        78.12 ns/op	2432.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	825802618	        86.79 ns/op	2189.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	878341994	        81.62 ns/op	2327.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	824757892	        83.28 ns/op	2281.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	916420886	        79.61 ns/op	2386.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	100000000	       628.0 ns/op	3708.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	120202567	       598.7 ns/op	3889.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	120782907	       596.2 ns/op	3906.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	120842089	       596.4 ns/op	3905.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	100000000	       628.8 ns/op	3704.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	120164366	       600.3 ns/op	3879.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	100000000	       617.9 ns/op	3769.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	120433142	       597.0 ns/op	3901.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	100000000	       624.4 ns/op	3730.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	120177969	       598.4 ns/op	3891.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 9615568	      7484 ns/op	3756.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 9587810	      7518 ns/op	3740.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 8979968	      8014 ns/op	3508.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 9029161	      7782 ns/op	3613.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 9568740	      7530 ns/op	3733.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 9515512	      7578 ns/op	3710.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 9618260	      7516 ns/op	3741.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 9056379	      7957 ns/op	3533.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 9060085	      7738 ns/op	3633.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 9588490	      7533 ns/op	3732.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   31416	   2289234 ns/op	 983.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   31406	   2289743 ns/op	 983.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   31412	   2292948 ns/op	 981.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   31400	   2289767 ns/op	 983.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   31377	   2290844 ns/op	 982.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   31410	   2293566 ns/op	 981.46 MB/s	    2358 B/op	       3 allocs/op
BenchmarkParseFastJSON/canada-8        	   31423	   2290797 ns/op	 982.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   31436	   2291266 ns/op	 982.45 MB/s	    2356 B/op	       3 allocs/op
BenchmarkParseFastJSON/canada-8        	   31251	   2290382 ns/op	 982.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   31306	   2291070 ns/op	 982.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/citm-8          	  105793	    671827 ns/op	2570.91 MB/s	     189 B/op	       0 allocs/op
BenchmarkParseFastJSON/citm-8          	  107954	    668255 ns/op	2584.65 MB/s	     184 B/op	       0 allocs/op
BenchmarkParseFastJSON/citm-8          	  106102	    674914 ns/op	2559.15 MB/s	       0 B/op	       0 allocs/op
