goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseFastJSON/small-8         	1000000000	        82.14 ns/op	2313.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	763130218	        84.66 ns/op	2244.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	849061873	        81.92 ns/op	2319.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	799638762	       109.2 ns/op	1739.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	545598210	       134.2 ns/op	1415.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	566095363	       127.8 ns/op	1487.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	546439606	       131.0 ns/op	1450.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	528829536	       136.7 ns/op	1389.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	571977711	       125.4 ns/op	1515.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	541115894	       132.6 ns/op	1433.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	70947172	      1008 ns/op	2309.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	74271346	      1006 ns/op	2316.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	72681351	       970.6 ns/op	2399.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	64510383	      1052 ns/op	2212.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	73898898	       995.0 ns/op	2340.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	73536337	       973.4 ns/op	2392.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	73477764	       979.6 ns/op	2377.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	65891904	      1052 ns/op	2213.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	75333574	       966.0 ns/op	2410.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	74705355	       967.2 ns/op	2407.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 5640172	     12803 ns/op	2196.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 5581827	     12817 ns/op	2193.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 5648960	     12807 ns/op	2195.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 5659801	     12846 ns/op	2188.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 4993952	     13910 ns/op	2021.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 5670427	     13133 ns/op	2140.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 5322633	     13656 ns/op	2059.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 5656353	     12711 ns/op	2212.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 5634204	     12728 ns/op	2209.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 5716663	     12689 ns/op	2215.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   29184	   2535956 ns/op	 887.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   27974	   2500715 ns/op	 900.16 MB/s	    2648 B/op	       4 allocs/op
BenchmarkParseFastJSON/canada-8        	   27985	   2525745 ns/op	 891.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   27968	   2518725 ns/op	 893.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   27312	   2535674 ns/op	 887.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   27001	   2474553 ns/op	 909.68 MB/s	    2743 B/op	       4 allocs/op
