goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
BenchmarkParseFastJSON/small-8         	318299742	       119.9 ns/op	1584.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	299729344	       119.5 ns/op	1589.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	308420178	       116.8 ns/op	1627.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	306850700	       117.8 ns/op	1613.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	305638936	       118.3 ns/op	1606.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	301609918	       118.8 ns/op	1599.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	306231573	       119.8 ns/op	1585.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	302335398	       117.7 ns/op	1613.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	314307147	       115.6 ns/op	1642.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	302430724	       119.5 ns/op	1590.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	45145224	       894.2 ns/op	2604.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	39465327	       894.0 ns/op	2605.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	44125982	       894.9 ns/op	2602.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	39407724	       897.2 ns/op	2595.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	44240181	       903.8 ns/op	2576.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	37116246	       908.6 ns/op	2563.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	39201754	       888.3 ns/op	2621.90 MB/s	       0 B/op	       0 allocs/op
