goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
BenchmarkParseFastJSON/small-8         	302316541	       121.0 ns/op	1569.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	282544783	       126.1 ns/op	1506.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	287647568	       120.0 ns/op	1582.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	304674554	       115.8 ns/op	1640.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	301621410	       115.6 ns/op	1644.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	305733427	       116.0 ns/op	1638.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	304597768	       118.0 ns/op	1610.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	306780715	       115.4 ns/op	1646.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	305696648	       117.5 ns/op	1616.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/small-8         	309345403	       115.6 ns/op	1643.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	38306698	       898.3 ns/op	2592.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	42973926	       898.8 ns/op	2591.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	39256710	       896.3 ns/op	2598.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	40595970	       891.5 ns/op	2612.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	40573011	       902.7 ns/op	2579.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	42280520	       905.0 ns/op	2573.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	43313698	       893.2 ns/op	2607.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	41278117	       892.9 ns/op	2608.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	41360122	       898.7 ns/op	2591.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/medium-8        	39816778	       896.1 ns/op	2598.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 3242880	     11298 ns/op	2488.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 3255884	     11284 ns/op	2491.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 3231172	     11138 ns/op	2524.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 3171189	     11117 ns/op	2529.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 3288448	     11204 ns/op	2509.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 3215983	     11172 ns/op	2516.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 3183342	     11580 ns/op	2428.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 3213451	     11163 ns/op	2518.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 3174958	     11138 ns/op	2524.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/large-8         	 3284019	     11129 ns/op	2526.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastJSON/canada-8        	   22752	   1604234 ns/op	1403.19 MB/s	       1 B/op	       0 allocs/op
