goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseFastHTTP/small-48         	1000000000	        17.66 ns/op	1529.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        20.39 ns/op	1323.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        18.08 ns/op	1493.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        18.86 ns/op	1431.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        21.79 ns/op	1239.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        20.47 ns/op	1319.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        19.86 ns/op	1359.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        15.42 ns/op	1751.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        17.05 ns/op	1583.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        20.87 ns/op	1293.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        34.57 ns/op	1967.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        30.97 ns/op	2195.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        32.60 ns/op	2085.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        34.58 ns/op	1966.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        31.24 ns/op	2176.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	959574099	        36.53 ns/op	1861.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        30.39 ns/op	2237.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        34.84 ns/op	1951.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        35.39 ns/op	1921.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        25.73 ns/op	2643.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-48         	797939076	        45.53 ns/op	4897.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-48         	651723643	        55.49 ns/op	4019.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-48         	694867472	        51.59 ns/op	4322.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-48         	755500749	        48.29 ns/op	4618.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-48         	664664137	        53.28 ns/op	4185.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-48         	875265448	        41.71 ns/op	5346.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-48         	662457061	        55.54 ns/op	4014.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-48         	703825285	        50.79 ns/op	4390.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-48         	750399008	        48.20 ns/op	4626.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-48         	746400009	        46.03 ns/op	4844.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-48           	235664031	       159.9 ns/op	7050.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-48           	239359389	       150.2 ns/op	7505.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-48           	208701554	       172.5 ns/op	6534.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-48           	233559324	       153.9 ns/op	7321.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-48           	216156016	       161.4 ns/op	6981.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-48           	226301242	       163.7 ns/op	6882.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-48           	237793383	       155.1 ns/op	7268.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-48           	224853607	       158.2 ns/op	7122.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-48           	248660768	       145.9 ns/op	7725.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-48           	211099418	       170.4 ns/op	6612.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-48         	128597551	       281.4 ns/op	7429.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-48         	134063374	       269.7 ns/op	7752.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-48         	124983652	       282.1 ns/op	7413.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-48         	126036421	       281.0 ns/op	7441.78 MB/s	       0 B/op	       0 allocs/op
