goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseFastHTTP/small-48         	1000000000	        20.22 ns/op	1335.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        16.28 ns/op	1658.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        18.85 ns/op	1432.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        19.63 ns/op	1375.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        17.24 ns/op	1566.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        17.47 ns/op	1545.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        20.65 ns/op	1307.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        16.48 ns/op	1638.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        15.94 ns/op	1693.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-48         	1000000000	        17.83 ns/op	1514.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        25.72 ns/op	2643.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        35.50 ns/op	1915.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        35.09 ns/op	1937.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        33.40 ns/op	2036.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        32.54 ns/op	2089.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        31.18 ns/op	2180.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        29.42 ns/op	2311.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        24.80 ns/op	2741.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-48        	1000000000	        29.65 ns/op	2293.57 MB/s	       0 B/op	       0 allocs/op
