goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseFastHTTP/small-8         	553381568	        62.51 ns/op	 431.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	581613625	        62.70 ns/op	 430.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	577823660	        62.11 ns/op	 434.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	568995116	        63.35 ns/op	 426.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	562227324	        63.82 ns/op	 423.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	575910412	        63.17 ns/op	 427.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	559667060	        64.35 ns/op	 419.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	578866184	        62.24 ns/op	 433.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	581610284	        61.90 ns/op	 436.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	550982310	        66.06 ns/op	 408.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	354178602	       102.1 ns/op	 666.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	350104735	       102.8 ns/op	 661.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	346050750	       105.0 ns/op	 647.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	347449832	       103.1 ns/op	 659.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	346735855	       103.7 ns/op	 655.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	358739272	       100.1 ns/op	 679.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	341776485	       103.7 ns/op	 655.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	347338690	       103.0 ns/op	 660.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	345828040	       104.9 ns/op	 647.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	355719841	       102.1 ns/op	 666.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	220629032	       163.7 ns/op	1362.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	217416519	       166.6 ns/op	1338.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	219529153	       163.8 ns/op	1361.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	219508556	       163.2 ns/op	1366.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	216441117	       166.2 ns/op	1341.47 MB/s	       0 B/op	       0 allocs/op
