goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseFastHTTP/small-8         	813122493	        61.87 ns/op	 436.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	553585332	        64.29 ns/op	 419.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	575407945	        64.15 ns/op	 420.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	560104816	        64.16 ns/op	 420.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	550849866	        65.85 ns/op	 410.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	559718776	        65.15 ns/op	 414.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	466140712	        66.77 ns/op	 404.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	564617068	        63.15 ns/op	 427.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	536668724	        67.12 ns/op	 402.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	564579072	        63.87 ns/op	 422.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	347813031	       102.7 ns/op	 662.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	347825192	       103.9 ns/op	 654.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	355390570	       101.5 ns/op	 669.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	355490163	       106.2 ns/op	 640.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	349301002	       101.9 ns/op	 667.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	348151418	       104.6 ns/op	 650.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	346118248	       110.5 ns/op	 615.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	234226828	       172.3 ns/op	 394.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	218076210	       187.8 ns/op	 362.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	211637354	       172.0 ns/op	 395.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	130188682	       302.7 ns/op	 736.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	127654524	       272.6 ns/op	 818.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	130430821	       267.8 ns/op	 832.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	134073488	       267.4 ns/op	 833.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	133114606	       270.7 ns/op	 823.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	132201868	       272.3 ns/op	 818.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	126295652	       269.8 ns/op	 826.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	137397610	       267.0 ns/op	 835.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	132413946	       270.2 ns/op	 825.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	134399996	       268.2 ns/op	 831.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	39532912	       915.6 ns/op	1230.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	38962700	       914.1 ns/op	1232.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	39969198	       934.8 ns/op	1205.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	34129719	       935.7 ns/op	1204.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	40021551	       909.2 ns/op	1239.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	39115299	       908.9 ns/op	1239.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	40037720	       909.6 ns/op	1239.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	39854760	       914.0 ns/op	1232.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	39453842	       916.3 ns/op	1229.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	39522144	       958.9 ns/op	1175.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	24878782	      1426 ns/op	1466.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	25424269	      1465 ns/op	1427.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	25368554	      1420 ns/op	1472.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	25091929	      1415 ns/op	1477.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	25716163	      1417 ns/op	1475.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	22662324	      1443 ns/op	1449.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	21520400	      1461 ns/op	1430.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	25339098	      1425 ns/op	1467.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	25541562	      1416 ns/op	1477.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	25502262	      1411 ns/op	1481.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseNetUrl/small-8           	125672392	       292.2 ns/op	  92.39 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	100000000	       304.6 ns/op	  88.63 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	100000000	       301.9 ns/op	  89.44 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	122314244	       295.4 ns/op	  91.41 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	123080361	       294.5 ns/op	  91.68 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	122861478	       293.1 ns/op	  92.10 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	100000000	       307.2 ns/op	  87.89 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	120487860	       294.8 ns/op	  91.58 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	120939856	       296.9 ns/op	  90.93 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/small-8           	121164703	       298.3 ns/op	  90.53 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	95306329	       381.9 ns/op	 178.07 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	98739310	       372.5 ns/op	 182.57 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	97276518	       372.4 ns/op	 182.60 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	99052393	       368.2 ns/op	 184.69 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	99516208	       372.0 ns/op	 182.80 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	97771588	       373.9 ns/op	 181.88 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	96716510	       374.8 ns/op	 181.45 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	96652041	       386.0 ns/op	 176.15 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	97808968	       369.7 ns/op	 183.95 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/medium-8          	91068926	       370.6 ns/op	 183.49 MB/s	     560 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	33230070	      1099 ns/op	 202.85 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	33294622	      1122 ns/op	 198.68 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	33102456	      1094 ns/op	 203.77 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	33317985	      1095 ns/op	 203.65 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	33321194	      1092 ns/op	 204.17 MB/s	     960 B/op	       4 allocs/op
BenchmarkParseNetUrl/large-8           	33321578	      1097 ns/op	 203.32 MB/s	     960 B/op	       4 allocs/op
