goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
BenchmarkParseFastHTTP/small-8         	463490703	        82.55 ns/op	 327.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	460349725	        79.53 ns/op	 339.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	464468912	        80.14 ns/op	 336.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	454013089	        80.42 ns/op	 335.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	441802995	        80.09 ns/op	 337.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	436504362	        79.64 ns/op	 339.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	461192846	        79.32 ns/op	 340.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	459608308	        79.19 ns/op	 340.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	456484142	        78.98 ns/op	 341.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/small-8         	446925030	        77.89 ns/op	 346.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	287347578	       126.2 ns/op	 538.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	281524200	       127.0 ns/op	 535.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	294762630	       123.2 ns/op	 551.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	286737835	       125.1 ns/op	 543.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	282789549	       132.1 ns/op	 514.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	293024578	       124.0 ns/op	 548.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	294158473	       124.9 ns/op	 544.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	292333621	       124.5 ns/op	 545.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	289047741	       125.3 ns/op	 542.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/medium-8        	288109338	       124.2 ns/op	 547.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	179551633	       200.9 ns/op	1110.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	179428344	       201.7 ns/op	1105.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	180926010	       201.6 ns/op	1105.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	179874452	       200.6 ns/op	1111.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	177115544	       201.5 ns/op	1106.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	178868084	       200.4 ns/op	1112.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	177832956	       201.1 ns/op	1108.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	182394564	       204.0 ns/op	1093.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	179326682	       202.0 ns/op	1104.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/large-8         	180984465	       200.2 ns/op	1113.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	55684840	       707.5 ns/op	1593.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	56794800	       710.1 ns/op	1587.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	48711880	       704.6 ns/op	1599.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	48960398	       704.3 ns/op	1600.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	49068387	       709.0 ns/op	1589.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	51448430	       703.4 ns/op	1602.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	48978518	       703.3 ns/op	1602.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	48988353	       704.3 ns/op	1600.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	50449176	       711.5 ns/op	1583.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/big-8           	53491626	       703.8 ns/op	1601.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	34973910	      1172 ns/op	1784.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	33480228	      1168 ns/op	1790.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	33143941	      1178 ns/op	1775.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	34390326	      1169 ns/op	1789.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	29481782	      1168 ns/op	1790.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	32709200	      1172 ns/op	1783.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseFastHTTP/giant-8         	33846253	      1164 ns/op	1796.26 MB/s	       0 B/op	       0 allocs/op
