goos: linux
goarch: amd64
pkg: github.com/koykov/versus/xmlvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseXmlDOM/small-48       	 2707776	      3909 ns/op	  41.19 MB/s	    2668 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-48       	 3213980	      3754 ns/op	  42.89 MB/s	    2667 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-48       	 2797656	      4093 ns/op	  39.33 MB/s	    2667 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-48       	 2834756	      3922 ns/op	  41.06 MB/s	    2667 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-48       	 2695722	      4128 ns/op	  39.00 MB/s	    2666 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-48       	 2933780	      4020 ns/op	  40.05 MB/s	    2666 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-48       	 2776197	      4237 ns/op	  38.00 MB/s	    2666 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-48       	 2924211	      3854 ns/op	  41.78 MB/s	    2666 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-48       	 3368977	      4019 ns/op	  40.06 MB/s	    2666 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-48       	 3101076	      4168 ns/op	  38.62 MB/s	    2666 B/op	      67 allocs/op
BenchmarkParseXmlDOM/medium-48      	  696835	     17625 ns/op	  60.71 MB/s	   11199 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-48      	  627699	     17705 ns/op	  60.43 MB/s	   11198 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-48      	  985932	     16290 ns/op	  65.68 MB/s	   11198 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-48      	  626067	     17370 ns/op	  61.60 MB/s	   11199 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-48      	  821155	     16749 ns/op	  63.88 MB/s	   11198 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-48      	  721358	     16929 ns/op	  63.20 MB/s	   11198 B/op	     291 allocs/op
