goos: linux
goarch: amd64
pkg: github.com/koykov/versus/xmlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseXmlDOM/small-8      	 5604295	      2181 ns/op	  73.82 MB/s	    2665 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 5583014	      2042 ns/op	  78.85 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6041161	      2048 ns/op	  78.60 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6061579	      2071 ns/op	  77.75 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6064658	      2040 ns/op	  78.91 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 4869904	      2059 ns/op	  78.20 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 5687614	      2059 ns/op	  78.20 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6011750	      2067 ns/op	  77.91 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6044052	      2052 ns/op	  78.47 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6071367	      2057 ns/op	  78.27 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10839 ns/op	  98.72 MB/s	   11193 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10630 ns/op	 100.66 MB/s	   11194 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10660 ns/op	 100.38 MB/s	   11194 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10647 ns/op	 100.50 MB/s	   11193 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10710 ns/op	  99.91 MB/s	   11193 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10892 ns/op	  98.24 MB/s	   11193 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10778 ns/op	  99.28 MB/s	   11193 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10723 ns/op	  99.79 MB/s	   11193 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     11237 ns/op	  95.22 MB/s	   11193 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	  949044	     11770 ns/op	  90.91 MB/s	   11193 B/op	     291 allocs/op
BenchmarkParseXmlDOM/large-8      	  126968	     90150 ns/op	  80.16 MB/s	   97448 B/op	    2634 allocs/op
BenchmarkParseXmlDOM/large-8      	  137571	     89958 ns/op	  80.33 MB/s	   97447 B/op	    2634 allocs/op
BenchmarkParseXmlDOM/large-8      	  132640	     89108 ns/op	  81.09 MB/s	   97448 B/op	    2634 allocs/op
BenchmarkParseXmlDOM/large-8      	  136299	     90394 ns/op	  79.94 MB/s	   97447 B/op	    2634 allocs/op
BenchmarkParseXmlDOM/large-8      	  137020	     89133 ns/op	  81.07 MB/s	   97447 B/op	    2634 allocs/op
BenchmarkParseXmlDOM/large-8      	  124952	     90861 ns/op	  79.53 MB/s	   97447 B/op	    2634 allocs/op
BenchmarkParseXmlDOM/large-8      	  136598	     90249 ns/op	  80.07 MB/s	   97447 B/op	    2634 allocs/op
BenchmarkParseXmlDOM/large-8      	  130143	     90312 ns/op	  80.01 MB/s	   97446 B/op	    2634 allocs/op
BenchmarkParseXmlDOM/large-8      	  137929	     90299 ns/op	  80.02 MB/s	   97447 B/op	    2634 allocs/op
BenchmarkParseXmlDOM/large-8      	  136390	     89190 ns/op	  81.02 MB/s	   97447 B/op	    2634 allocs/op
BenchmarkParseXmlDOM/mondial-8    	     634	  17191428 ns/op	  88.03 MB/s	15518862 B/op	  425429 allocs/op
BenchmarkParseXmlDOM/mondial-8    	     716	  17279109 ns/op	  87.58 MB/s	15518703 B/op	  425429 allocs/op
BenchmarkParseXmlDOM/mondial-8    	     712	  17237978 ns/op	  87.79 MB/s	15518618 B/op	  425429 allocs/op
BenchmarkParseXmlDOM/mondial-8    	     686	  17121526 ns/op	  88.38 MB/s	15518628 B/op	  425429 allocs/op
BenchmarkParseXmlDOM/mondial-8    	     694	  17264758 ns/op	  87.65 MB/s	15518595 B/op	  425429 allocs/op
BenchmarkParseXmlDOM/mondial-8    	     680	  17274521 ns/op	  87.60 MB/s	15518592 B/op	  425429 allocs/op
BenchmarkParseXmlDOM/mondial-8    	     711	  17247348 ns/op	  87.74 MB/s	15518568 B/op	  425429 allocs/op
BenchmarkParseXmlDOM/mondial-8    	     692	  18367200 ns/op	  82.39 MB/s	15518550 B/op	  425429 allocs/op
BenchmarkParseXmlDOM/mondial-8    	     681	  17172309 ns/op	  88.12 MB/s	15518588 B/op	  425429 allocs/op
BenchmarkParseXmlDOM/mondial-8    	     693	  17081191 ns/op	  88.59 MB/s	15518573 B/op	  425429 allocs/op
BenchmarkParseXmlStreamParser/small-8         	 6055690	      1989 ns/op	  80.94 MB/s	    6848 B/op	      37 allocs/op
BenchmarkParseXmlStreamParser/small-8         	 6126117	      1992 ns/op	  80.83 MB/s	    6848 B/op	      37 allocs/op
BenchmarkParseXmlStreamParser/small-8         	 5948353	      1983 ns/op	  81.17 MB/s	    6848 B/op	      37 allocs/op
BenchmarkParseXmlStreamParser/small-8         	 5462899	      2030 ns/op	  79.29 MB/s	    6848 B/op	      37 allocs/op
BenchmarkParseXmlStreamParser/small-8         	 6192758	      2051 ns/op	  78.50 MB/s	    6848 B/op	      37 allocs/op
BenchmarkParseXmlStreamParser/small-8         	 6191534	      2041 ns/op	  78.90 MB/s	    6848 B/op	      37 allocs/op
BenchmarkParseXmlStreamParser/small-8         	 6187948	      2068 ns/op	  77.85 MB/s	    6848 B/op	      37 allocs/op
BenchmarkParseXmlStreamParser/small-8         	 6153504	      2079 ns/op	  77.44 MB/s	    6848 B/op	      37 allocs/op
BenchmarkParseXmlStreamParser/small-8         	 6093984	      2053 ns/op	  78.42 MB/s	    6848 B/op	      37 allocs/op
BenchmarkParseXmlStreamParser/small-8         	 5809021	      2056 ns/op	  78.30 MB/s	    6848 B/op	      37 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1959951	      5904 ns/op	 181.24 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1968436	      5994 ns/op	 178.51 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1994200	      5924 ns/op	 180.63 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 2042288	      6254 ns/op	 171.10 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 2030031	      6003 ns/op	 178.25 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1983976	      5930 ns/op	 180.44 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 2008954	      6049 ns/op	 176.89 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 2009000	      6011 ns/op	 178.01 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 2007207	      6017 ns/op	 177.83 MB/s	   15385 B/op	     141 allocs/op
BenchmarkParseXmlStreamParser/medium-8        	 1998246	      6049 ns/op	 176.88 MB/s	   15385 B/op	     141 allocs/op
