goos: linux
goarch: amd64
pkg: github.com/koykov/versus/xmlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseXmlDOM/small-8      	 6118922	      1959 ns/op	  82.18 MB/s	    2665 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 5856733	      1982 ns/op	  81.22 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6039700	      1986 ns/op	  81.08 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6025486	      1985 ns/op	  81.11 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6005152	      2239 ns/op	  71.89 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6003272	      2011 ns/op	  80.06 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6028136	      1994 ns/op	  80.75 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6006246	      1997 ns/op	  80.63 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 6002652	      1996 ns/op	  80.65 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/small-8      	 5984036	      2044 ns/op	  78.75 MB/s	    2664 B/op	      67 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10616 ns/op	 100.79 MB/s	   11194 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10579 ns/op	 101.15 MB/s	   11194 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10531 ns/op	 101.61 MB/s	   11194 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10546 ns/op	 101.46 MB/s	   11194 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10624 ns/op	 100.71 MB/s	   11194 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1121901	     10607 ns/op	 100.88 MB/s	   11193 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10565 ns/op	 101.28 MB/s	   11193 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10558 ns/op	 101.35 MB/s	   11193 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10623 ns/op	 100.73 MB/s	   11193 B/op	     291 allocs/op
BenchmarkParseXmlDOM/medium-8     	 1000000	     10682 ns/op	 100.17 MB/s	   11193 B/op	     291 allocs/op
